Customer_ID,Region,Age,Average_Premium_Paid,NPS_Score,Years_as_Customer,Feedback
CUST_0048,Rest of Switzerland,30,2030.32,9,2,Competitive pricing for a comprehensive policy.
CUST_0049,Rest of Switzerland,36,1883.21,5,9,The premiums are too expensive for what is offered.
CUST_0050,Rest of Switzerland,42,3161.87,7,4,Service is fine but could improve in some areas.
CUST_0051,Ticino,51,3092.2,10,13,Great value for the premium paid!
CUST_0052,Rest of Switzerland,42,1219.33,6,6,The policy is overpriced compared to competitors.
CUST_0053,Rest of Switzerland,35,3057.14,4,19,Unhappy with the claims resolution process.
CUST_0054,Ticino,50,1691.15,7,14,Claims process was average.
CUST_0055,Ticino,53,1081.45,10,14,Customer service was very supportive.
CUST_0056,Rest of Switzerland,25,3722.16,3,14,Claims handling took too long.
CUST_0057,Rest of Switzerland,35,3802.73,8,13,"Customer service was okay, nothing exceptional."
CUST_0058,Rest of Switzerland,33,4245.3,9,3,Competitive pricing for a comprehensive policy.
CUST_0059,Rest of Switzerland,41,3643.55,6,3,Claims handling took too long.
CUST_0060,Ticino,54,3250.05,8,5,Claims process was average.
CUST_0061,Rest of Switzerland,39,3023.76,5,12,Unhappy with the claims resolution process.
CUST_0062,Rest of Switzerland,47,3215.34,7,4,The policy is decent but not outstanding.
CUST_0063,Rest of Switzerland,34,2670.58,4,7,Customer service was unresponsive.
CUST_0064,Ticino,53,2632.2,6,4,Customer service was unresponsive.
CUST_0065,Ticino,50,2874.13,8,6,Claims process was average.
CUST_0066,Rest of Switzerland,42,2061.18,9,4,Competitive pricing for a comprehensive policy.
CUST_0067,Ticino,63,1319.88,7,2,Claims process was average.
CUST_0068,Rest of Switzerland,40,4418.09,9,5,I am very satisfied with the claims process.
CUST_0069,Ticino,54,2532.01,8,7,Claims process was average.
CUST_0070,Rest of Switzerland,34,3148.26,8,4,"Customer service was okay, nothing exceptional."
CUST_0071,Rest of Switzerland,50,4186.72,5,5,Customer service was unresponsive.
CUST_0072,Rest of Switzerland,45,4754.21,4,11,The policy is overpriced compared to competitors.
CUST_0073,Rest of Switzerland,40,3711.83,5,13,The premiums are too expensive for what is offered.
CUST_0074,Ticino,50,2719.11,9,8,Claims were handled quickly and efficiently.
CUST_0075,Rest of Switzerland,35,4382.81,8,16,Pricing is similar to other companies.
CUST_0076,Rest of Switzerland,28,2536.14,3,10,Claims handling took too long.
CUST_0077,Rest of Switzerland,37,2616.44,6,10,The policy is overpriced compared to competitors.
CUST_0078,Rest of Switzerland,42,2815.97,7,4,Pricing is similar to other companies.
CUST_0079,Rest of Switzerland,35,2277.96,7,10,Pricing is similar to other companies.
CUST_0080,Rest of Switzerland,32,2260.84,7,5,Service is fine but could improve in some areas.
CUST_0081,Rest of Switzerland,36,3243.72,5,9,The policy is overpriced compared to competitors.
CUST_0082,Rest of Switzerland,47,2210.1,5,11,Claims handling took too long.
CUST_0083,Rest of Switzerland,47,4115.44,4,15,Claims handling took too long.
CUST_0084,Rest of Switzerland,41,2522.95,7,14,Pricing is similar to other companies.
CUST_0085,Rest of Switzerland,37,3348.29,9,16,Claims were handled quickly and efficiently.
CUST_0086,Rest of Switzerland,46,3610.58,9,17,Customer service was very supportive.
CUST_0087,Rest of Switzerland,37,2893.73,4,14,Unhappy with the claims resolution process.
CUST_0088,Ticino,63,2557.0,8,7,Pricing is similar to other companies.
CUST_0089,Rest of Switzerland,35,1840.84,5,6,The premiums are too expensive for what is offered.
CUST_0090,Rest of Switzerland,51,5399.28,6,13,Customer service was unresponsive.
CUST_0091,Rest of Switzerland,39,3735.19,8,11,"Customer service was okay, nothing exceptional."
CUST_0092,Ticino,50,2166.95,9,8,Claims were handled quickly and efficiently.
CUST_0093,Ticino,60,3070.13,10,4,Great value for the premium paid!
CUST_0094,Ticino,63,2307.5,10,3,I am very satisfied with the claims process.
CUST_0095,Rest of Switzerland,44,5358.12,5,10,Unhappy with the claims resolution process.
CUST_0096,Rest of Switzerland,30,5306.4,4,9,The policy is overpriced compared to competitors.
CUST_0097,Rest of Switzerland,40,2896.86,4,4,The policy is overpriced compared to competitors.
CUST_0098,Rest of Switzerland,39,5269.03,9,15,Great value for the premium paid!
CUST_0099,Rest of Switzerland,50,2605.56,5,3,Claims handling took too long.
CUST_0100,Ticino,64,2317.98,7,8,Service is fine but could improve in some areas.
CUST_0101,Ticino,64,2580.19,10,11,Customer service was very supportive.
CUST_0102,Rest of Switzerland,41,2476.88,4,9,Unhappy with the claims resolution process.
CUST_0103,Rest of Switzerland,43,2980.78,6,15,Unhappy with the claims resolution process.
CUST_0104,Rest of Switzerland,51,1245.62,7,12,Pricing is similar to other companies.
CUST_0105,Rest of Switzerland,39,1902.78,4,12,The premiums are too expensive for what is offered.
CUST_0106,Rest of Switzerland,33,2458.51,9,2,Customer service was very supportive.
CUST_0107,Rest of Switzerland,28,3498.56,5,19,The premiums are too expensive for what is offered.
CUST_0108,Rest of Switzerland,36,1006.8,7,7,Pricing is similar to other companies.
CUST_0109,Rest of Switzerland,28,1717.34,7,10,"Customer service was okay, nothing exceptional."
CUST_0110,Rest of Switzerland,44,1195.96,8,5,The policy is decent but not outstanding.
CUST_0111,Rest of Switzerland,48,2997.7,4,4,Unhappy with the claims resolution process.
CUST_0112,Rest of Switzerland,43,4143.22,9,10,Claims were handled quickly and efficiently.
CUST_0113,Ticino,66,1758.08,9,7,Great value for the premium paid!
CUST_0114,Rest of Switzerland,33,2862.74,4,18,The premiums are too expensive for what is offered.
CUST_0115,Rest of Switzerland,36,2030.09,4,16,Customer service was unresponsive.
CUST_0116,Rest of Switzerland,43,3412.42,4,1,The policy is overpriced compared to competitors.
CUST_0117,Rest of Switzerland,34,3725.24,8,6,"Customer service was okay, nothing exceptional."
CUST_0118,Ticino,48,1112.11,7,4,Service is fine but could improve in some areas.
CUST_0119,Rest of Switzerland,44,2116.7,7,9,Claims process was average.
CUST_0120,Rest of Switzerland,43,1956.97,7,18,Service is fine but could improve in some areas.
CUST_0121,Rest of Switzerland,46,2808.7,6,15,Unhappy with the claims resolution process.
CUST_0122,Rest of Switzerland,36,4487.03,7,8,Service is fine but could improve in some areas.
CUST_0123,Rest of Switzerland,45,1714.63,9,12,Claims were handled quickly and efficiently.
CUST_0124,Rest of Switzerland,46,4517.14,5,11,Unhappy with the claims resolution process.
CUST_0125,Rest of Switzerland,31,2645.22,7,13,"Customer service was okay, nothing exceptional."
CUST_0126,Rest of Switzerland,40,1293.07,7,16,Claims process was average.
CUST_0127,Rest of Switzerland,35,2017.7,8,4,Claims process was average.
CUST_0128,Rest of Switzerland,50,2501.77,7,6,Pricing is similar to other companies.
CUST_0129,Rest of Switzerland,40,1556.45,7,1,Service is fine but could improve in some areas.
CUST_0130,Rest of Switzerland,34,3879.73,8,11,"Customer service was okay, nothing exceptional."
CUST_0131,Ticino,54,1373.89,7,7,The policy is decent but not outstanding.
CUST_0132,Rest of Switzerland,25,4432.2,6,11,Unhappy with the claims resolution process.
CUST_0133,Rest of Switzerland,34,4478.26,8,15,Pricing is similar to other companies.
CUST_0134,Rest of Switzerland,42,2105.14,5,8,Unhappy with the claims resolution process.
CUST_0135,Rest of Switzerland,32,3931.44,6,16,Claims handling took too long.
CUST_0136,Rest of Switzerland,32,1644.53,4,11,The premiums are too expensive for what is offered.
CUST_0137,Rest of Switzerland,45,1595.34,9,5,I am very satisfied with the claims process.
CUST_0138,Rest of Switzerland,33,1859.75,6,10,Claims handling took too long.
CUST_0139,Rest of Switzerland,40,4848.76,9,12,I am very satisfied with the claims process.
CUST_0140,Rest of Switzerland,42,1429.74,6,7,Unhappy with the claims resolution process.
CUST_0141,Rest of Switzerland,36,1647.53,6,12,The policy is overpriced compared to competitors.
CUST_0142,Rest of Switzerland,32,1512.6,6,11,The policy is overpriced compared to competitors.
CUST_0143,Rest of Switzerland,39,3693.8,5,7,Unhappy with the claims resolution process.
CUST_0144,Rest of Switzerland,39,5330.23,9,9,Claims were handled quickly and efficiently.
CUST_0145,Rest of Switzerland,54,4078.2,9,5,Competitive pricing for a comprehensive policy.
CUST_0146,Rest of Switzerland,32,3259.75,9,17,Customer service was very supportive.
CUST_0147,Rest of Switzerland,40,4103.23,8,14,The policy is decent but not outstanding.
CUST_0148,Rest of Switzerland,33,3603.2,9,20,Claims were handled quickly and efficiently.
CUST_0149,Rest of Switzerland,35,3879.71,5,11,The premiums are too expensive for what is offered.
CUST_0150,Rest of Switzerland,46,2571.2,5,7,Customer service was unresponsive.
CUST_0151,Rest of Switzerland,37,2840.41,6,14,Customer service was unresponsive.
CUST_0152,Rest of Switzerland,38,2301.32,5,5,The premiums are too expensive for what is offered.
CUST_0153,Rest of Switzerland,37,3563.4,8,1,The policy is decent but not outstanding.
CUST_0154,Ticino,53,3276.94,6,12,The policy is overpriced compared to competitors.
CUST_0155,Rest of Switzerland,49,5095.99,8,7,"Customer service was okay, nothing exceptional."
CUST_0156,Ticino,63,2991.6,10,13,Competitive pricing for a comprehensive policy.
CUST_0157,Ticino,50,2254.74,8,12,"Customer service was okay, nothing exceptional."
CUST_0158,Rest of Switzerland,40,2848.33,8,14,The policy is decent but not outstanding.
CUST_0159,Rest of Switzerland,41,2689.72,4,12,The policy is overpriced compared to competitors.
CUST_0160,Rest of Switzerland,31,2527.09,5,11,Claims handling took too long.
CUST_0161,Rest of Switzerland,34,4764.92,4,11,Claims handling took too long.
CUST_0162,Rest of Switzerland,29,1992.98,4,3,Customer service was unresponsive.
CUST_0163,Rest of Switzerland,42,5198.1,6,10,Customer service was unresponsive.
CUST_0164,Ticino,53,1228.91,9,8,Customer service was very supportive.
CUST_0165,Rest of Switzerland,45,1590.97,8,17,Service is fine but could improve in some areas.
CUST_0166,Rest of Switzerland,39,5511.6,8,10,Service is fine but could improve in some areas.
CUST_0167,Rest of Switzerland,37,3280.36,5,11,Claims handling took too long.
CUST_0168,Ticino,48,3488.38,9,8,Claims were handled quickly and efficiently.
CUST_0169,Rest of Switzerland,35,1087.06,9,6,I am very satisfied with the claims process.
CUST_0170,Rest of Switzerland,39,4647.9,6,10,Customer service was unresponsive.
CUST_0171,Ticino,66,1090.03,8,11,Pricing is similar to other companies.
CUST_0172,Ticino,45,2091.1,7,4,Claims process was average.
CUST_0173,Rest of Switzerland,42,1731.66,5,11,Customer service was unresponsive.
CUST_0174,Rest of Switzerland,36,3204.43,6,16,The policy is overpriced compared to competitors.
CUST_0175,Rest of Switzerland,33,2377.85,7,9,"Customer service was okay, nothing exceptional."
CUST_0176,Rest of Switzerland,48,4379.57,4,4,The premiums are too expensive for what is offered.
CUST_0177,Rest of Switzerland,37,3290.93,4,3,Claims handling took too long.
CUST_0178,Rest of Switzerland,36,2148.18,6,10,The premiums are too expensive for what is offered.
CUST_0179,Rest of Switzerland,43,2953.81,6,9,The premiums are too expensive for what is offered.
CUST_0180,Ticino,50,2407.57,8,11,The policy is decent but not outstanding.
CUST_0181,Rest of Switzerland,38,4853.74,5,19,The premiums are too expensive for what is offered.
CUST_0182,Rest of Switzerland,48,3761.28,4,20,The premiums are too expensive for what is offered.
CUST_0183,Ticino,55,2084.32,9,5,Great value for the premium paid!
CUST_0184,Rest of Switzerland,54,5181.01,8,12,Service is fine but could improve in some areas.
CUST_0185,Rest of Switzerland,43,2706.94,5,11,The premiums are too expensive for what is offered.
CUST_0186,Rest of Switzerland,47,1848.89,8,6,The policy is decent but not outstanding.
CUST_0187,Ticino,46,3281.68,6,11,Claims handling took too long.
CUST_0188,Rest of Switzerland,42,1310.82,4,6,The policy is overpriced compared to competitors.
CUST_0189,Rest of Switzerland,46,4155.24,6,19,Claims handling took too long.
CUST_0190,Rest of Switzerland,39,4151.04,8,8,"Customer service was okay, nothing exceptional."
CUST_0191,Rest of Switzerland,42,1813.73,6,9,Unhappy with the claims resolution process.
CUST_0192,Rest of Switzerland,38,2615.78,6,3,The policy is overpriced compared to competitors.
CUST_0193,Rest of Switzerland,41,5189.35,6,15,The premiums are too expensive for what is offered.
CUST_0194,Rest of Switzerland,38,5287.81,7,5,Service is fine but could improve in some areas.
CUST_0195,Rest of Switzerland,31,5362.9,5,3,Claims handling took too long.
CUST_0196,Rest of Switzerland,36,4209.78,9,3,Claims were handled quickly and efficiently.
CUST_0197,Ticino,53,1233.81,9,2,Customer service was very supportive.
CUST_0198,Rest of Switzerland,40,3672.29,7,8,The policy is decent but not outstanding.
CUST_0199,Rest of Switzerland,42,1974.7,7,4,Claims process was average.
CUST_0200,Rest of Switzerland,31,2853.36,4,9,The policy is overpriced compared to competitors.
CUST_0201,Rest of Switzerland,42,2534.88,4,14,The premiums are too expensive for what is offered.
CUST_0202,Rest of Switzerland,35,3971.94,4,8,Unhappy with the claims resolution process.
CUST_0203,Rest of Switzerland,33,2244.0,4,5,The policy is overpriced compared to competitors.
CUST_0204,Rest of Switzerland,30,2385.14,8,14,Claims process was average.
CUST_0205,Rest of Switzerland,42,4642.04,4,8,Customer service was unresponsive.
CUST_0206,Rest of Switzerland,32,1511.78,5,7,The policy is overpriced compared to competitors.
CUST_0207,Ticino,66,1947.02,10,12,Great value for the premium paid!
CUST_0208,Ticino,64,2951.56,9,3,Customer service was very supportive.
CUST_0209,Rest of Switzerland,36,2070.47,4,6,Unhappy with the claims resolution process.
CUST_0210,Rest of Switzerland,40,4417.15,9,12,Customer service was very supportive.
CUST_0211,Rest of Switzerland,53,2983.55,6,11,The policy is overpriced compared to competitors.
CUST_0212,Rest of Switzerland,43,3819.59,5,3,Claims handling took too long.
CUST_0213,Rest of Switzerland,45,3215.51,4,14,Claims handling took too long.
CUST_0214,Rest of Switzerland,44,3047.7,4,14,The policy is overpriced compared to competitors.
CUST_0215,Rest of Switzerland,35,1584.53,9,1,I am very satisfied with the claims process.
CUST_0216,Ticino,63,2801.83,10,10,Customer service was very supportive.
CUST_0217,Rest of Switzerland,39,3857.94,8,10,The policy is decent but not outstanding.
CUST_0218,Rest of Switzerland,34,2055.74,8,6,Service is fine but could improve in some areas.
CUST_0219,Rest of Switzerland,40,3573.91,4,10,Unhappy with the claims resolution process.
CUST_0220,Rest of Switzerland,45,1914.5,6,6,Claims handling took too long.
CUST_0221,Ticino,60,3031.94,9,13,Great value for the premium paid!
CUST_0222,Ticino,50,1015.01,9,11,Great value for the premium paid!
CUST_0223,Rest of Switzerland,49,1863.37,9,5,Customer service was very supportive.
CUST_0224,Rest of Switzerland,44,4211.2,7,7,Claims process was average.
CUST_0225,Ticino,56,1353.21,10,7,Claims were handled quickly and efficiently.
CUST_0226,Rest of Switzerland,43,1950.1,8,17,Service is fine but could improve in some areas.
CUST_0227,Rest of Switzerland,45,3649.09,7,8,Service is fine but could improve in some areas.
CUST_0228,Ticino,41,3319.17,7,14,Service is fine but could improve in some areas.
CUST_0229,Ticino,61,1677.18,10,8,Claims were handled quickly and efficiently.
CUST_0230,Ticino,60,3255.99,9,6,I am very satisfied with the claims process.
CUST_0231,Rest of Switzerland,45,2517.53,9,15,Competitive pricing for a comprehensive policy.
CUST_0232,Rest of Switzerland,36,2637.47,7,11,The policy is decent but not outstanding.
CUST_0233,Ticino,63,2124.76,10,10,Customer service was very supportive.
CUST_0234,Rest of Switzerland,44,1730.65,6,3,The policy is overpriced compared to competitors.
CUST_0235,Rest of Switzerland,36,1820.36,7,14,Claims process was average.
CUST_0236,Rest of Switzerland,36,1574.1,6,8,Claims handling took too long.
CUST_0237,Rest of Switzerland,42,1796.54,4,4,Customer service was unresponsive.
CUST_0238,Rest of Switzerland,29,1114.86,7,18,The policy is decent but not outstanding.
CUST_0239,Rest of Switzerland,41,4118.45,9,17,Claims were handled quickly and efficiently.
CUST_0240,Ticino,63,2865.57,9,9,Claims were handled quickly and efficiently.
CUST_0241,Rest of Switzerland,47,3149.16,5,5,Customer service was unresponsive.
CUST_0242,Rest of Switzerland,46,3573.01,9,3,Customer service was very supportive.
CUST_0243,Rest of Switzerland,50,1915.03,8,8,The policy is decent but not outstanding.
CUST_0244,Rest of Switzerland,29,1661.09,7,5,Service is fine but could improve in some areas.
CUST_0245,Rest of Switzerland,37,2027.74,8,7,"Customer service was okay, nothing exceptional."
CUST_0246,Rest of Switzerland,42,1633.69,4,11,The premiums are too expensive for what is offered.
CUST_0247,Rest of Switzerland,37,2722.73,5,14,Unhappy with the claims resolution process.
CUST_0248,Rest of Switzerland,32,2754.61,9,6,Great value for the premium paid!
CUST_0249,Ticino,49,1483.45,6,8,The premiums are too expensive for what is offered.
CUST_0250,Rest of Switzerland,33,1875.56,6,12,Customer service was unresponsive.
CUST_0251,Rest of Switzerland,46,2107.09,7,7,Pricing is similar to other companies.
CUST_0252,Rest of Switzerland,31,1508.77,7,5,Pricing is similar to other companies.
CUST_0253,Rest of Switzerland,41,3969.05,5,11,Claims handling took too long.
CUST_0254,Rest of Switzerland,35,1277.68,8,4,Pricing is similar to other companies.
CUST_0255,Ticino,42,3356.03,7,5,Claims process was average.
CUST_0256,Rest of Switzerland,35,4665.98,9,3,Great value for the premium paid!
CUST_0257,Rest of Switzerland,31,3328.44,6,15,The premiums are too expensive for what is offered.
CUST_0258,Rest of Switzerland,29,2230.7,5,4,Claims handling took too long.
CUST_0259,Rest of Switzerland,38,2350.72,7,7,"Customer service was okay, nothing exceptional."
CUST_0260,Rest of Switzerland,30,3640.67,5,11,The policy is overpriced compared to competitors.
CUST_0261,Rest of Switzerland,30,1085.44,5,17,Unhappy with the claims resolution process.
CUST_0262,Rest of Switzerland,38,3030.34,4,3,Claims handling took too long.
CUST_0263,Rest of Switzerland,33,2054.38,9,10,I am very satisfied with the claims process.
CUST_0264,Rest of Switzerland,37,4113.9,4,4,The policy is overpriced compared to competitors.
CUST_0265,Rest of Switzerland,38,3466.9,8,5,The policy is decent but not outstanding.
CUST_0266,Rest of Switzerland,43,3802.52,5,14,The policy is overpriced compared to competitors.
CUST_0267,Rest of Switzerland,53,3102.73,4,8,Claims handling took too long.
CUST_0268,Rest of Switzerland,34,3835.4,6,15,Claims handling took too long.
CUST_0269,Rest of Switzerland,35,3347.51,5,9,Customer service was unresponsive.
CUST_0270,Rest of Switzerland,46,3555.29,5,7,Claims handling took too long.
CUST_0271,Rest of Switzerland,36,4492.81,9,9,Great value for the premium paid!
CUST_0272,Rest of Switzerland,47,3473.82,4,2,Customer service was unresponsive.
CUST_0273,Ticino,54,1183.55,9,7,I am very satisfied with the claims process.
CUST_0274,Rest of Switzerland,44,1788.94,4,10,Customer service was unresponsive.
CUST_0275,Ticino,63,1718.73,10,10,I am very satisfied with the claims process.
CUST_0276,Rest of Switzerland,28,2712.04,7,11,The policy is decent but not outstanding.
CUST_0277,Rest of Switzerland,45,2936.9,5,9,Claims handling took too long.
CUST_0278,Rest of Switzerland,47,1673.23,5,8,Claims handling took too long.
CUST_0279,Rest of Switzerland,37,1027.34,9,10,Customer service was very supportive.
CUST_0280,Rest of Switzerland,41,1910.9,9,10,Great value for the premium paid!
CUST_0281,Rest of Switzerland,52,1311.68,4,13,The policy is overpriced compared to competitors.
CUST_0282,Rest of Switzerland,37,2598.64,5,10,Claims handling took too long.
CUST_0283,Rest of Switzerland,43,2137.84,4,4,The premiums are too expensive for what is offered.
CUST_0284,Rest of Switzerland,36,2554.32,5,4,Customer service was unresponsive.
CUST_0285,Rest of Switzerland,39,2144.05,4,1,Unhappy with the claims resolution process.
CUST_0286,Rest of Switzerland,58,3639.14,5,3,Unhappy with the claims resolution process.
CUST_0287,Ticino,39,3203.79,10,9,Claims were handled quickly and efficiently.
CUST_0288,Rest of Switzerland,38,3406.84,7,8,Pricing is similar to other companies.
CUST_0289,Rest of Switzerland,40,3383.96,7,9,Claims process was average.
CUST_0290,Rest of Switzerland,42,1501.36,4,3,Unhappy with the claims resolution process.
CUST_0291,Rest of Switzerland,37,1659.31,5,5,Customer service was unresponsive.
CUST_0292,Ticino,57,3101.52,9,6,Customer service was very supportive.
CUST_0293,Rest of Switzerland,42,3209.36,4,6,Customer service was unresponsive.
CUST_0294,Rest of Switzerland,52,3047.58,10,8,Claims were handled quickly and efficiently.
CUST_0295,Rest of Switzerland,43,3587.14,7,5,Claims process was average.
CUST_0296,Rest of Switzerland,48,2350.56,9,8,Customer service was very supportive.
CUST_0297,Rest of Switzerland,33,3833.89,9,13,Customer service was very supportive.
CUST_0298,Rest of Switzerland,42,3055.12,5,10,Customer service was unresponsive.
CUST_0299,Rest of Switzerland,47,2520.92,4,11,Customer service was unresponsive.
CUST_0300,Rest of Switzerland,43,4767.38,5,5,The premiums are too expensive for what is offered.
CUST_0301,Rest of Switzerland,38,5326.39,8,3,"Customer service was okay, nothing exceptional."
CUST_0302,Rest of Switzerland,37,1291.26,6,14,The policy is overpriced compared to competitors.
CUST_0303,Ticino,65,3362.08,9,4,Great value for the premium paid!
CUST_0304,Rest of Switzerland,33,3553.39,5,5,The premiums are too expensive for what is offered.
CUST_0305,Rest of Switzerland,26,3378.16,7,9,Service is fine but could improve in some areas.
CUST_0306,Rest of Switzerland,54,3963.8,10,14,Competitive pricing for a comprehensive policy.
CUST_0307,Rest of Switzerland,34,3723.82,7,16,Claims process was average.
CUST_0308,Rest of Switzerland,45,2779.99,4,7,The premiums are too expensive for what is offered.
CUST_0309,Rest of Switzerland,38,4372.72,6,9,Claims handling took too long.
CUST_0310,Rest of Switzerland,48,2603.59,8,11,Service is fine but could improve in some areas.
CUST_0311,Rest of Switzerland,38,1856.96,5,10,The premiums are too expensive for what is offered.
CUST_0312,Rest of Switzerland,29,3077.7,8,15,"Customer service was okay, nothing exceptional."
CUST_0313,Rest of Switzerland,37,1531.81,5,8,The policy is overpriced compared to competitors.
CUST_0314,Ticino,39,2976.24,10,3,Customer service was very supportive.
CUST_0315,Rest of Switzerland,33,5124.8,7,17,Service is fine but could improve in some areas.
CUST_0316,Rest of Switzerland,39,2369.38,7,4,Claims process was average.
CUST_0317,Rest of Switzerland,48,5610.86,4,12,Customer service was unresponsive.
CUST_0318,Rest of Switzerland,37,2746.64,5,10,Customer service was unresponsive.
CUST_0319,Rest of Switzerland,45,3378.58,7,4,"Customer service was okay, nothing exceptional."
CUST_0320,Rest of Switzerland,45,1836.76,6,10,Customer service was unresponsive.
CUST_0321,Ticino,52,1147.52,10,11,Customer service was very supportive.
CUST_0322,Rest of Switzerland,40,3458.33,8,5,Claims process was average.
CUST_0323,Rest of Switzerland,54,2398.7,8,15,Pricing is similar to other companies.
CUST_0324,Ticino,49,1320.04,7,6,The policy is decent but not outstanding.
CUST_0325,Rest of Switzerland,39,2327.11,6,4,Claims handling took too long.
CUST_0326,Rest of Switzerland,44,2222.74,9,14,Great value for the premium paid!
CUST_0327,Ticino,71,1454.66,7,10,Pricing is similar to other companies.
CUST_0328,Rest of Switzerland,39,4062.04,5,14,Unhappy with the claims resolution process.
CUST_0329,Rest of Switzerland,39,1798.75,4,10,Unhappy with the claims resolution process.
CUST_0330,Rest of Switzerland,28,1936.1,6,3,The premiums are too expensive for what is offered.
CUST_0331,Rest of Switzerland,46,1318.14,4,2,The policy is overpriced compared to competitors.
CUST_0332,Rest of Switzerland,49,2913.3,8,4,Service is fine but could improve in some areas.
CUST_0333,Rest of Switzerland,42,1994.92,4,6,Claims handling took too long.
CUST_0334,Rest of Switzerland,35,1760.77,4,9,The policy is overpriced compared to competitors.
CUST_0335,Rest of Switzerland,38,2244.24,6,6,The premiums are too expensive for what is offered.
CUST_0336,Rest of Switzerland,52,4837.36,7,4,Service is fine but could improve in some areas.
CUST_0337,Rest of Switzerland,40,1804.16,9,15,Claims were handled quickly and efficiently.
CUST_0338,Rest of Switzerland,38,2946.71,8,10,"Customer service was okay, nothing exceptional."
CUST_0339,Rest of Switzerland,35,3498.42,7,14,Claims process was average.
CUST_0340,Rest of Switzerland,33,1009.87,7,11,"Customer service was okay, nothing exceptional."
CUST_0341,Rest of Switzerland,29,1553.89,5,3,Unhappy with the claims resolution process.
